Object ID,Map Label,Asset Name,Asset Type,Quantity,lat,lng
721,Trash Can,Carousel Concession Stand Trash Can,Trash Can,1,"(37.7680187479,-122.458234268)"
722,Trash Can,Herschel-Spillman Carousel Trash Can,Trash Can,3,"(37.7679809397,-122.458148549)"
723,Trash Can,Koret Playground Trash Can,Trash Can,3,"(37.7678955712,-122.458339277)"
724,Trash Can,Koret Playground Trash Can,Trash Can,3,"(37.7680796896,-122.458501809)"
759,Trash Can,Natural Area Trash Cans,Trash Can,2,"(37.7651651797,-122.438520595)"
791,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7627858778,-122.451930071)"
792,Trash Can,Annual Beds Trash Cans,Trash Can,1,"(37.762852418,-122.451569508)"
793,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7626058274,-122.452050328)"
794,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7626069114,-122.452040005)"
795,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7626091932,-122.452030864)"
807,Trash Can,DG Pathway Trash Cans,Trash Can,1,"(37.751709348,-122.438916789)"
815,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7596956556,-122.426104672)"
819,Trash Can,CPA Trash Can,Trash Can,1,"(37.788442121,-122.449748193)"
832,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.795510735,-122.397127836)"
833,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7955198144,-122.397025115)"
834,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7962239484,-122.397463027)"
836,Trash Can,Concrete Pathway Trash Can,Trash Can,4,"(37.7698666295,-122.431968254)"
849,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.7495337883,-122.412492298)"
852,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.7497179706,-122.41224622)"
875,Trash Can,Concrete Hardscaped Area Trash Cans,Trash Can,2,"(37.749923446,-122.406489781)"
876,Trash Can,Concrete Hardscaped Area Trash Cans,Trash Can,2,"(37.7499248127,-122.406486188)"
877,Trash Can,Baseball Field 1 Trash Cans,Trash Can,2,"(37.7498523672,-122.406521622)"
878,Trash Can,Baseball Field 1 Trash Cans,Trash Can,2,"(37.7498935534,-122.406439089)"
884,Trash Can,Children's Play Area Trash Cans,Trash Can,5,"(37.7581476156,-122.413064756)"
885,Trash Can,Parking Lot Trash Can,Trash Can,1,"(37.758061595,-122.412804241)"
887,Trash Can,Children's Play Area Trash Cans,Trash Can,2,"(37.7503570353,-122.406416279)"
893,Trash Can,Perennial Bed Trash Cans,Trash Can,3,"(37.7589672332,-122.428079706)"
896,Trash Can,Perennial Bed Trash Cans,Trash Can,3,"(37.7604789491,-122.428220915)"
929,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7598883293,-122.426164961)"
947,Trash Can,Concrete Pathway Trash Can,Trash Can,4,"(37.7694384926,-122.433984424)"
953,Trash Can,Children's Play Area Trash Can,Trash Can,1,"(37.7694786092,-122.433592424)"
962,Trash Can,Concrete Pathway Trash Can,Trash Can,1,"(37.7974104242,-122.444890265)"
978,Trash Can,Baseball Field Trash Can,Trash Can,1,"(37.7438894197,-122.479719468)"
979,Trash Can,Turf Trash Can,Trash Can,1,"(37.7446494103,-122.479126599)"
981,Trash Can,Children's Play Area Trash Can,Trash Can,1,"(37.7437476588,-122.480921303)"
984,Trash Can,DG Paths Trash Cans,Trash Can,3,"(37.7605167288,-122.390656711)"
986,Trash Can,DG Paths Trash Cans,Trash Can,3,"(37.7604887483,-122.391231899)"
990,Trash Can,LA Trash Cans,Trash Can,4,"(37.7609342434,-122.391347553)"
994,Trash Can,LA Trash Cans,Trash Can,4,"(37.7615162531,-122.391141077)"
1,000,Trash Can,LA Trash Cans,Trash Can,4,"(37.761525,-122.390929833)"
1,003,Trash Can,LA Trash Cans,Trash Can,4,"(37.7615185149,-122.390809107)"
1,006,Trash Can,DG Paths Trash Cans,Trash Can,3,"(37.761223136,-122.390733081)"
1,010,Trash Can,Non-Landscaped Greenspace Trash Can,Trash Can,1,"(37.7499342151,-122.469248677)"
1,011,Trash Can,Children's Play Area Trash Can,Trash Can,1,"(37.7501056604,-122.468844117)"
1,012,Trash Can,Asphalt Pathway Trash Can,Trash Can,1,"(37.7501449234,-122.468690373)"
1,018,Trash Can,DG Pathway Trash Can,Trash Can,1,"(37.7309405521,-122.480394284)"
1,020,Trash Can,Dog Play Area Trash Cans,Trash Can,3,"(37.7817055535,-122.426007358)"
1,021,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7820728647,-122.425896017)"
1,023,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7822352026,-122.424559961)"
1,024,Trash Can,Dog Play Area Trash Cans,Trash Can,3,"(37.7819010663,-122.426020929)"
1,025,Trash Can,Concrete Pathway Trash Cans,Trash Can,5,"(37.7819904398,-122.425874361)"
1,026,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7815329268,-122.425236603)"
1,027,Trash Can,Turf Trash Cans,Trash Can,5,"(37.781774335,-122.425305916)"
1,028,Trash Can,Dog Play Area Trash Cans,Trash Can,3,"(37.7815696772,-122.426687419)"
1,029,Trash Can,Hardscaped Area Trash Can,Trash Can,3,"(37.7174804616,-122.470149003)"
1,030,Trash Can,Hardscaped Area Trash Can,Trash Can,3,"(37.7174863108,-122.470149158)"
1,063,Trash Can,CPA Trash Can "(30)",Trash Can,1,"(37.8015147285,-122.43167632)"
1,065,Trash Can,Tennis Court 3 Trash Can "(30)",Trash Can,1,"(37.8017949649,-122.431898045)"
1,068,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8028784897,-122.432616619)"
1,069,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8025566304,-122.432089939)"
1,073,Trash Can,Asphalt Pathway Sunset 55 Gallon Trash Can,Trash Can,1,"(37.8016634894,-122.432338474)"
1,074,Trash Can,Asphalt Pathway 30 Gallon Trash Can,Trash Can,3,"(37.8017000927,-122.432061775)"
1,076,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8025072791,-122.433929511)"
1,077,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8025066903,-122.433914858)"
1,078,Trash Can,Asphalt Pathway 55 Gallon Trash Can,Trash Can,5,"(37.8025069989,-122.433896044)"
1,079,Trash Can,Asphalt Pathway 55 Gallon Trash Can,Trash Can,5,"(37.8025080676,-122.433881432)"
1,080,Trash Can,Asphalt Pathway 55 Gallon Trash Can,Trash Can,5,"(37.8025083932,-122.433861574)"
1,085,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8027731756,-122.433652021)"
1,086,Trash Can,Asphalt Pathway  30 Gallon Trash Can,Trash Can,10,"(37.8027599929,-122.43364645)"
1,087,Trash Can,Softball Field 3 Trash Can "(30)",Trash Can,2,"(37.80176877,-122.43357528)"
1,088,Trash Can,Softball Field 3 Trash Can "(30)",Trash Can,2,"(37.8016635075,-122.433417)"
1,091,Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,Trash Can,4,"(37.8014840617,-122.431900084)"
1,092,Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,Trash Can,4,"(37.8014944062,-122.431901661)"
1,093,Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,Trash Can,4,"(37.8015088767,-122.431904651)"
1,094,Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,Trash Can,4,"(37.8015212957,-122.431906281)"
1,095,Trash Can,Picnic Area Trash Can,Trash Can,2,"(37.8016137784,-122.433477136)"
1,105,Trash Can,Picnic Area Trash Can,Trash Can,2,"(37.8014886227,-122.433773189)"
1,106,Trash Can,Picnic Area Trash Can,Trash Can,2,"(37.8012787829,-122.433731127)"
1,107,Trash Can,Picnic Area Trash Can,Trash Can,2,"(37.801321749,-122.43332445)"
1,121,Trash Can,Turf Trash Cans,Trash Can,3,"(37.7962285863,-122.39666676)"
1,129,Trash Can,DPA Turf Trash Cans,Trash Can,3,"(37.7905951495,-122.438211561)"
1,130,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.7904358357,-122.438170933)"
1,134,Trash Can,DPA Turf Trash Cans,Trash Can,3,"(37.7907564934,-122.436807651)"
1,139,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.7913277246,-122.436535859)"
1,140,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.791794705,-122.436541958)"
1,141,Trash Can,Play Structure Trash Cans,Trash Can,3,"(37.7910524718,-122.438013802)"
1,142,Trash Can,Play Structure Trash Cans,Trash Can,3,"(37.7910536392,-122.437996568)"
1,143,Trash Can,Play Structure Trash Cans,Trash Can,3,"(37.7910558001,-122.437972675)"
1,147,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.7908809387,-122.438546728)"
1,148,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.790887608,-122.43855148)"
1,149,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.7908924809,-122.438554877)"
1,150,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.7908960584,-122.438558239)"
1,151,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.7909001441,-122.43856227)"
1,152,Trash Can,Play Area Trash Cans,Trash Can,6,"(37.7909052567,-122.438566981)"
1,156,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.7905743498,-122.437003518)"
1,157,Trash Can,DPA Turf Trash Cans,Trash Can,3,"(37.790704319,-122.437182462)"
1,158,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.790874581,-122.43705178)"
1,224,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.7429417473,-122.440325241)"
1,234,Trash Can,Concrete Pathway Trash Can,Trash Can,1,"(37.7976511671,-122.419238858)"
1,244,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7087731657,-122.41360251)"
1,257,Trash Can,Concrete Pathway Trash Can,Trash Can,1,"(37.8065866866,-122.419021935)"
1,261,Trash Can,Tennis Court Trash Can,Trash Can,1,"(37.7847906349,-122.48496574)"
1,262,Trash Can,Paved Multi-use Play Area  2 Trash Can,Trash Can,2,"(37.7849593116,-122.484975056)"
1,263,Trash Can,Paved Multi-use Play Area  2 Trash Can,Trash Can,2,"(37.7850267917,-122.484762927)"
1,264,Trash Can,Picnic Area Trash Can,Trash Can,1,"(37.78499427,-122.484711578)"
1,265,Trash Can,Asphalt Pathway Trash Can,Trash Can,3,"(37.7850293256,-122.484725735)"
1,266,Trash Can,Asphalt Pathway Trash Can,Trash Can,3,"(37.7850304,-122.484718553)"
1,275,Trash Can,Asphalt Pathway Trash Can,Trash Can,3,"(37.7849043731,-122.484331337)"
1,277,Trash Can,Tot's Play Area Trash Can,Trash Can,1,"(37.7848444404,-122.484291554)"
1,301,Trash Can,Children's Play Area Trash Cans,Trash Can,2,"(37.7504862534,-122.406347783)"
1,302,Trash Can,Children's Play Area Trash Cans,Trash Can,2,"(37.7502530968,-122.406610863)"
1,304,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.749619645,-122.412539098)"
1,312,Trash Can,Children's Play Area Trash Cans,Trash Can,5,"(37.7580900386,-122.413239918)"
1,313,Trash Can,Children's Play Area Trash Cans,Trash Can,5,"(37.7580816581,-122.413239199)"
1,314,Trash Can,Children's Play Area Trash Cans,Trash Can,5,"(37.7580814224,-122.413229126)"
1,315,Trash Can,Children's Play Area Trash Cans,Trash Can,5,"(37.7580827847,-122.413219096)"
1,325,Trash Can,Turf Trash Cans,Trash Can,1,"(37.7335389935,-122.447073954)"
